zipcode,local
90291,Los Angeles (Venice)
90292,"Los Angeles (Marina Peninsula), Marina del Rey"
90293,Los Angeles (Playa del Rey)
90294,Los Angeles (Venice PO Boxes)
90295,Marina del Rey (PO Boxes)
90296,Los Angeles (Playa del Rey PO Boxes)
90301,Inglewood
90302,Inglewood
90303,Inglewood
90304,"Inglewood, Lennox"
90305,Inglewood
90306,Inglewood (PO Boxes)
90307,Inglewood (PO Boxes)
90308,Inglewood (PO Boxes)
90309,Inglewood (PO Boxes)
90310,Inglewood (PO Boxes)
90311,Inglewood (PO Boxes)
90312,Inglewood (PO Boxes)
90401,Santa Monica (Downtown)
90402,Santa Monica
90403,Santa Monica
90404,Santa Monica
90405,"Santa Monica (Ocean Park, Santa Monica Airport, Sunpark)"
90406,Santa Monica (PO Boxes)
90407,Santa Monica (PO Boxes)
90408,Santa Monica (PO Boxes)
90409,Santa Monica (PO Boxes)
90410,Santa Monica (PO Boxes)
90411,Santa Monica (PO Boxes)
90501,Torrance
90502,"Torrance, West Carson"
90503,Torrance
90504,Torrance
90505,Torrance
90506,Torrance (Camino College)
90507,Torrance (PO Boxes)
90508,Torrance (PO Boxes)
90509,Torrance (PO Boxes)
90510,Torrance (PO Boxes)
90601,"City of Industry, Whittier"
90602,Whittier
90603,Whittier
90604,"East La Mirada, South Whittier, "
90605,"South Whittier, Whittier"
90606,"Los Nietos, West Whittier"
90607,Whittier (PO Boxes)
90608,Whittier (PO Boxes)
90609,Whittier (Whittwood PO Boxes)
90610,Los Nietos(PO Boxes)
90631,La Habra Heights
90637,La Mirada (PO Boxes)
90638,La Mirada
90639,La Mirada (Biola University)
90640,Montebello
90650,Norwalk
90651,Norwalk (PO Boxes)
90652,Norwalk (PO Boxes)
90660,Pico Rivera
90661,Pico Rivera (PO Boxes)
90662,Pico Rivera (PO Boxes)
90670,Santa Fe Springs
90671,Santa Fe Springs (PO Boxes)
90701,Artesia
90702,Artesia (PO Boxes)
90703,Cerritos
90704,"Avalon, Santa Catalina Island, Two Harbors (PO Boxes)"
90706,Bellflower
90707,Bellflower (PO Boxes)
90710,Los Angeles (Harbor City)
90711,Lakewood (PO Boxes)
90712,Lakewood
90713,Lakewood
90714,Lakewood (PO Boxes)
90715,Lakewood
90716,Hawaiian Gardens
90717,Lomita
90723,Paramount
90731,"Los Angeles (San Pedro, Terminal Island)"
90732,"Los Angeles (San Pedro), Rancho Palos Verdes"
90733,Los Angeles (San Pedro PO Boxes)
90734,Los Angeles (San Pedro PO Boxes)
90740,Long Beach (overlaps Orange County)
90744,Los Angeles (Wilmington)
90745,Carson
90746,Carson
90747,Carson (California State Univ Dominguez Hills)
90748,Los Angeles (Wilmington PO Boxes)
90749,Carson (PO Boxes)
90755,Signal Hill
90801,Long Beach (PO Boxes)
90802,Long Beach
90803,"Long Beach (Belmont Shore, Marina, Naples)"
90804,Long Beach (East Long Beach)
90805,Long Beach (North Long Beach)
90806,Long Beach
90807,Long Beach (Bixby Knolls)
90808,Long Beach
90809,Long Beach (PO Boxes)
90810,"Carson, Dominguez, Long Beach"
90813,Long Beach
90814,Long Beach
90815,Long Beach
90822,Long Beach
90831,Long Beach (World Trade Center)
90832,Long Beach (World Trade Center PO Boxes)
90833,Long Beach (World Trade Center)
90834,Long Beach (Non-Geographic Zip Code Within 90802)
90835,Long Beach (World Trade Center)
90840,Long Beach (California State Univ Long Beach)
90842,Long Beach (Dept. of Gas & Water)
90844,Long Beach (Press Telegram)
90846,Long Beach (Boeing)
90847,Long Beach (AARP)
90848,Long Beach (AARP Pharmacy)
90853,Long Beach (Belmont Shore PO Boxes)
90895,Carson (Lakeshore Learning)
90899,Long Beach (LA International Service Center)
